"Title","Movie Release Year","Running Time","Genre","Director","Country","Front Cover","Trailer URLs","Format","IMDb Rating","Location","Musician","Writer","Actor","Audience Rating","Audio Tracks","Extras","Features","Movie Release Date","Plot","Producer","Release Date","Release Year","Back Cover","Backdrop","Barcode","Box set","Chapters","Cinematography","Distributor","Edition","Episodes","Extra Features"
"Executive Decision","1996","134 mins","Adventure; Thriller; Action","Stuart Baird","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\ExecutiveDecision199628682_f.jpg","http://www.youtube.com/watch?v=4Ms91m1bCXQ","DVD","6.3","","Jerry Goldsmith","Jim Thomas; John Thomas","Kurt Russell as Dr. Phil. David Grant; Steven Seagal as Lt. Colonel Austin Travis; Halle Berry as Jean; John Leguizamo as Captain Rat; Oliver Platt as Dennis Cahill; Joe Morton as Sergeant Matheny; David Suchet as Nagi Hassan; B.D. Wong as Sergeant Louie; Len Cariou as Charles White; Whip Hubley as Sergeant Baker; Andreas Katsulas as El Sayed Jaffa; Mary Ellen Trainor as Allison; Marla Maples as Nancy; J. T. Walsh as Senator Mavros","R (Restricted)","Dolby Digital 5.1 [English]","","","1996","Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.","Joel Silver; Jim Thomas","9/3/1997","1997","C:\Users\zerom_000\Documents\Movie Collector\Images\ExecutiveDecision199628682_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\ExecutiveDecision199628682_d.jpg","085391421122","","0","Alex Thomson","Warner Home Video","","0","Production Notes Interactive Menus"
"Exit Wounds","2001","101 mins","Adventure; Thriller; Crime","Andrzej Bartkowiak","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\ExitWounds200119238_f.jpg","http://www.youtube.com/watch?v=-PRxMSfTHLA","DVD","5.3","","Damon Blackman","Richard D'Ovidio; Ed Horowitz","Steven Seagal as Detective Orin Boyd; Anthony Anderson as T. K. Johnson; DMX as Latrell Walker; Tom Arnold as Henry Wayne; Bill Duke as Chief Hinges; Jill Hennessy as Com. Annette Mulcahy; Bruce McGill as Frank Daniels; David Vadim as Matt Montini; Isaiah Washington as George Clark; Michael Jai White as Sgt. Lewis Strutt; Eva Mendes as Trish; Matthew G. Taylor as Useldinger; Paolo Mastropietro as Parker; Jennifer Irwin as Linda; Shane Daly as Fitz","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]","","","2001","Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops in this fast-paced actioner.","Bruce Berman; Joel Silver","2/14/2006","2006","C:\Users\zerom_000\Documents\Movie Collector\Images\ExitWounds200119238_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\ExitWounds200119238_d.jpg","085392106929","","0","Glen MacPherson","Warner Home Video","","0","Behind-The-Scenes Documentary The Making Of Exit Wounds DMX No Sunshine Music Video A Day On The Set With Anthony Anderson Interactive Menus Theatrical Trailer Scene Access"
"The Expendables","2010","103 mins","Adventure; Thriller; Action","Sylvester Stallone","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables20102335_f.jpg","http://www.youtube.com/watch?v=C6RU5y2fU6s","Blu-ray Disc","6.7","","Brian Tyler","Sylvester Stallone; Dave Callaham","Sylvester Stallone as Barney Ross; Jason Statham as Lee Christmas; Jet Li as Ying Yang; Dolph Lundgren as Gunner Jensen; Eric Roberts as James Munroe; Randy Couture as Toll Road; Steve Austin as Paine; David Zayas as General Garza; Giselle Itié as Sandra; Charisma Carpenter as Lacy; Gary Daniels as The Brit; Terry Crews as Hale Caesar; Mickey Rourke as Tool; Amin Joseph as Pirate Leader; Senyo Amoaku as Tall Pirate","R (Restricted)","Dolby Digital 5.1 [French]; DTS; DTS [English]; Commentary; DTS-HD Master Audio 7.1; DTS-HD Master Audio 7.1 [English]; DTS-HD High Resolution Audio; DTS-HD High Resolution Audio [English]","","","2010","Barney Ross (Stallone) leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas (Statham), a martial arts expert, heavy weapons specialist, demolitionist, and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.","Boaz Davidson; Avi Lerner","11/23/2010","2010","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables20102335_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables20102335_d.jpg","031398128458","","0","","Lions Gate","Blu-Ray DVD Digital Copy","0","* Ultimate Recon Mode: An Interactive BonusView™ Viewing Experience * Audio Commentary with Sylvester Stallone * 'Inferno: The Making of The Expendables' Documentary * 'From the Ashes: Postproduction and Release' Documentary * Comic-Con 2010 Panel (Blu-ray exclusive) * Deleted Scene * Gag Reel * Marketing Archive * BD Touch™ and Metamenu™ Remote Enabled for iPhone®/iPod®/iPad® Interactivity * D-Box Motion Control Enabled * Lionsgate Live™ BD-Live menu system lets you access exclusive content, special offers, ringtones and more!"
"The Expendables 2","2012","103 mins","Adventure; Thriller; Action","Simon West","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables2201238635_f.jpg","http://www.youtube.com/watch?v=7rkdTcQLwZ4; http://www.youtube.com/watch?v=TgEqVYcryWc","Blu-ray Disc","7.1","","Brian Tyler","Richard Wenk; Sylvester Stallone","Bruce Willis as Church; Sylvester Stallone as Barney Ross; Arnold Schwarzenegger as Trench; Chuck Norris as Booker; Jean-Claude Van Damme as Vilain; Jason Statham as Lee Christmas; Jet Li as Yin Yang; Dolph Lundgren as Gunnar Jensen; Terry Crews as Hale Caesar; Randy Couture as Toll Road; Liam Hemsworth as Bill The Kid; Scott Adkins as Hector; Nan Yu as Maggie; Amanda Ooms as Pilar; Charisma Carpenter as Lacy","R (Restricted)","Dolby Digital 5.1 [Spanish]; Dolby Digital Stereo [English]; DTS-HD Master Audio 7.1 [English]","","","2012","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.","Boaz Davidson; Danny Lerner","11/20/2012","2012","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables2201238635_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables2201238635_d.jpg","031398160861","","0","Shelly Johnson","Lion's Gate Home Entertainment","Blu-ray Digital Copy Ultraviolet","0","Audio Commentary With The Director God Of War: Assembling Earth's Mightiest Antiheroes Big Guns, Bigger Heroes: The 1980s and the Rise Of The Action Film On The Assault: The Real Life Weaponry of The Expendables Guns For Hire: The Real Expendables Deleted Scenes Gag Reel"
"The Expendables 3","2014","127 mins","Adventure; Thriller; Action","Patrick Hughes","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables3201443199_f.jpg","http://www.youtube.com/watch?v=OuXkXJ1fPuk; http://www.youtube.com/watch?v=RHmRpryFjwA","Blu-ray Disc","6.2","","Brian Tyler","Sylvester Stallone; Dave Callaham","Sylvester Stallone as Barney Ross; Jason Statham as Lee Christmas; Harrison Ford as Drummer; Arnold Schwarzenegger as Trench; Mel Gibson as Stonebanks; Wesley Snipes as Doc; Dolph Lundgren as Gunner Jensen; Randy Couture as Toll Road; Terry Crews as Caesar; Kelsey Grammer as Bonaparte; Glen Powell as Thorn; Antonio Banderas as Galgo; Víctor Ortíz as Mars; Ronda Rousey as Luna; Kellan Lutz as Smilee","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [Spanish]; DTS-HD Master Audio 5.1 [English]","","","2014","Barney (Stallone), Christmas (Statham) and the rest of the team comes face-to-face with Conrad Stonebanks (Gibson), who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill... or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables' most personal battle yet.","Boaz Davidson; Danny Lerner","11/25/2014","2014","","C:\Users\zerom_000\Documents\Movie Collector\Images\TheExpendables3201443199_d.jpg","031398206361","","0","Peter Menzies Jr.","","Unrated Extended Cut 2 Disc DVD Digital Copy Ultraviolet Blu-Ray Edition","0","• The Expendables 3 Documentary •'New Blood: Stacked and Jacked' Featurette •'The Total Action Package' Featurette •'Christmas Runs the Gauntlet' Extended Scene •Gag Reel DVD Copy"
"Explorers","1985","109 mins","Adventure; Family; Science Fiction","Joe Dante","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\Explorers198527928_f.jpg","http://www.youtube.com/watch?v=VZp10uBMBDc","DVD","6.3","","","Ethan Hawke; Eric Luke","Bradley Gregg as Steve Jackson's Gang; Ethan Hawke as Ben Crandall; River Phoenix as Wolfgang Muller; Bobby Fite as Steve Jackson; Georg Olden as Steve Jackson's Gang; Chance Schwass as Steve Jackson's Gang","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]","","","1985","The visionary dreams of three curious and adventuresome young boys become an exciting reality in Explorers, the action-fantasy from director Joe Dante, who combines keen humour, warmth and fantasy with unexpected twists. In their makeshift laboratory, the boys use an amazing discovery and their ingenuity to build there own spaceship and launch themselves on a fantastic interplanetary journey.","Tom Jacobson; Michael Finnell","8/17/2004","2004","","C:\Users\zerom_000\Documents\Movie Collector\Images\Explorers198527928_d.jpg","085393396428","","0","","Warner Home Video","","0","Taking Lives Crime Lab of 4 probing documentaries with cast and crew. The Art Of Collaboration:How the filmmaking team came together. Profiling A Director: Inside D.J. Caruso's mind. Bodies Of Evidence: Stars confess their secrets of working on an ultra-tense thriller, Puzzle Within The Puzzle: The teamwork of Caruso and veteran editor Anne V. Coates."
"Extreme Ops","2002","93 mins","Adventure; Thriller; Action","Christian Duguay","UK","C:\Users\zerom_000\Documents\Movie Collector\Images\ExtremeOps200227719_f.jpg","http://www.youtube.com/watch?v=fuMTEejOwKA","DVD","4.1","","","Timothy Scott Bogart; Mark Mullin","Devon Sawa as Will; Bridgette Wilson as Chloe; Rupert Graves as Jeffrey; Rufus Sewell as Ian; Heino Ferch as Mark; Joe Absolom as Silo; Jana Pallaske as Kittie; Jean-Pierre Castaldi as Zoran; Liliana Komorowska as Yana; David Scheller as Slavko; Detlef Bothe as Ratko; Heinrich Schmieder as Goran; Franjo Marincic as Ivo; Rade Radovic as Jaksa; Bridgette Wilson-Sampras as Chloe","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital Surround [English]; Dolby Digital Surround [French]","","","2002","While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.","Jan Fantl; Moshe Diamant","5/6/2003","2003","C:\Users\zerom_000\Documents\Movie Collector\Images\ExtremeOps200227719_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\ExtremeOps200227719_d.jpg","097363409540","","0","","Paramount","","0","'The Making of...' Documentary Cast Interviews Cinematographies Deleted Scenes Director's Commentary Interactive Menus Production Notes Scene Selection Dubbed PAL Widescreen"
"Face/Off","1997","138 mins","Documentary; Thriller; Crime; Action","John Woo","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FaceOff199727568_f.jpg","http://www.youtube.com/watch?v=Vlg-VRc6TbY","DVD","7.3","","John Powell","Mike Werb; Michael Colleary","Nicolas Cage as Castor Troy/Sean Archer; John Travolta as Sean Archer/Castor Troy; Chris Bauer as Ivan Dubov; Tommy Flanagan as Leo; Tom Jane as Burke Hicks; Matt Ross as Loomis; Joan Allen as Dr. Eve Archer; Christopher Bauer as Ivan Dubov; Nick Cassavetes as Dietrich Hassler; Margaret Cho as Wanda; Jamie Denton as Buzz; Colm Feore as Dr. Malcolm Walsh; Gina Gershon as Sasha Hassler; Myles Jeffrey as Michael Archer; John Carroll Lynch as Prison Guard Walton","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Surround [English]; Dolby Digital Surround [French]","","","1997","A revolutionary medical technique allows an undercover agent to take the physical appearance of a major criminal and infiltrate his organization.","Barrie M. Osborne; Mike Werb","10/6/1998","1998","C:\Users\zerom_000\Documents\Movie Collector\Images\FaceOff199727568_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FaceOff199727568_d.jpg","097361549576","","0","Oliver Wood","Paramount","","0","Interactive Menus Scene Selection Theatrical Trailers"
"Face/Off","1997","138 mins","Action; Crime; Documentary; Family; Thriller","John Woo","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FaceOff199741791_f.jpg","http://www.youtube.com/watch?v=3zebJ_NoduE; http://www.youtube.com/watch?v=Vlg-VRc6TbY","DVD","7.3","","John Powell","Mike Werb; Michael Colleary","Nicolas Cage as Castor Troy/Sean Archer; John Travolta as Sean Archer/Castor Troy; Chris Bauer as Ivan Dubov; Tommy Flanagan as Leo; Tom Jane as Burke Hicks; Matt Ross as Loomis; Joan Allen as Dr. Eve Archer; Christopher Bauer as Ivan Dubov; Nick Cassavetes as Dietrich Hassler; Margaret Cho as Wanda; Jamie Denton as Buzz; Colm Feore as Dr. Malcolm Walsh; Gina Gershon as Sasha Hassler; Myles Jeffrey as Michael Archer; John Carroll Lynch as Prison Guard Walton","","","","","1997","A revolutionary medical technique allows an undercover agent to take the physical appearance of a major criminal and infiltrate his organization.","Barrie M. Osborne; Mike Werb","","","","C:\Users\zerom_000\Documents\Movie Collector\Images\FaceOff199741791_d.jpg","883929301706","","0","Oliver Wood","","","0",""
"The Faculty","1998","104 mins","Comedy; Science Fiction","Robert Rodriguez","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFaculty199822072_f.jpg","http://www.youtube.com/watch?v=ig9HztI9-nY","DVD","6.3","","","David Wechter; Bruce Kimmel","Jordana Brewster as Delilah Profitt; Clea DuVall as Stokely Mitchell; Josh Hartnett as Zeke; Elijah Wood as Casey Connor; Laura Harris as Marybeth Louise Hutchinson; Shawn Hatosy as Stan Rosado; Salma Hayek as Rosa Harper; Famke Janssen as Miss Elizabeth Burke; Piper Laurie as Mrs. Karen Olson; Christopher McDonald as Mr. Frank Connor","R (Restricted)","Dolby Digital 5.1 [English]","","","1998","When some very creepy things start happening around school, the kids at Herrington High make a chilling discovery that confirms their worst suspicions; their teachers really are from another planet! As mind-controlling parasites rapidly begin spreading from the faculty to the students' bodies it's ultimately up to the few who are left - an unlikely collection of loners, leaders, nerds and jocks - to save the world from alien domination!","Robert Rodriguez; Elizabeth Avellan","6/15/1999","1999","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFaculty199822072_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\TheFaculty199822072_d.jpg","717951002280","","0","","Dimension","","0","Theatrical Trailer Chapter Search"
"Failure To Launch","2006","97 mins","Comedy; Romance","Tom Dey","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FailureToLaunch200618898_f.jpg","http://www.youtube.com/watch?v=5y28R-ZWP9A","DVD","5.5","","Rolfe Kent","Matt Ember; Tom J. Astle","Matthew McConaughey as Tripp; Sarah Jessica Parker as Paula; Zooey Deschanel as Kit; Justin Bartha as Ace; Bradley Cooper as Demo; Terry Bradshaw as Al; Kathy Bates as Sue; Tyrell Jackson Williams as Jeffrey; Katheryn Winnick as Melissa","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; Dolby Digital 5.1 [French]; Dolby Digital Stereo [English]","","","2006","Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.","Scott Rudin; Scott Aversano","6/27/2006","2006","C:\Users\zerom_000\Documents\Movie Collector\Images\FailureToLaunch200618898_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FailureToLaunch200618898_d.jpg","097363449140","","0","Claudio Miranda","Paramount","","0","Casting Off: The Making Of Failure To Launch The Failure To Launch Phenomenon Dating In The New Millennium Moviefone.com Unscripted with Matthew McConaughey and Terry Bradshaw The Failure To Launch Contest Theatrical Trailer"
"Fair Game","1995","91 mins","Thriller; Action","Andrew Sipes","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FairGame199519388_f.jpg","http://www.youtube.com/watch?v=uHdg1PnHPv4","DVD","3.9","","Mark Mancina","Paula Gosling; Charlie Fletcher","William Baldwin as Max Kirkpatrick; John Bedford Lloyd as Det. Louis Aragon; Steven Berkoff as Col. Ilya Kazak; Johann Carlo as Jodi Kirkpatrick; Cindy Crawford as Kate McQueen; Jenette Goldstein as Rosa; Salma Hayek as Rita; Olek Krupa as Zhukov; Christopher McDonald as Lt. Meyerson; Miguel Sandoval as Emilio Juantorena","R (Restricted)","Dolby Digital 5.1 [English]; Dolby Digital Surround [English]; Dolby Digital Surround [French]","","","1995","'Fair Game' is the story of rogue cop, Max Kirkpatrick (William Baldwin). He is a Detective First Class in his prescient and recently divorced from Jodi Kirkpatrick (Johann Carlo). Without much a future he is assigned to protect Kate McQuean (Cindy Crawford) who is a district attorney wanted by a group of KGB operatives who are looking to silence her so she can no longer peruse a court case concerning Emilio Juantorena (Miguel Sandoval). Colonel Ilya Pavel Kazak (Steven Berkoff) is the head KGB agent tracking McQuean who uses everything he can find to find out where Kirkpatrick has spirited McQuean off too as both Kirkpatrick and McQuean become close.","Joel Silver; Thomas M. Hammel","3/30/1999","1999","C:\Users\zerom_000\Documents\Movie Collector\Images\FairGame199519388_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FairGame199519388_d.jpg","085391407225","","0","Richard Bowen","Warner Home Video","","0","Color Closed-captioned Dolby"
"Falling Down","1993","113 mins","Drama; Thriller; Crime","Joel Schumacher","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FallingDown199327846_f.jpg","http://www.youtube.com/watch?v=KOUdakrP52E","DVD","7.6","","James Newton Howard","Ebbe Roe Smith","Michael Douglas as William Foster/D-Fens; Robert Duvall as Prendergast; Barbara Hershey as Beth; Tuesday Weld as Amanda Prendergast; Rachel Ticotin as Detective Sandra; Frederic Forrest as Nick, Surplus Store Owner; Lois Smith as William Foster's Mother; Joey Hope Singer as Adele, Beth's Child; Michael Paul Chan as Mr. Lee; Stephen Park as Detective Brian; Macon McCalman as Detective Graham; Richard Montoya as Detective Sanchez; Raymond J. Barry as Captain Yardley; D.W. Moffett as Detective Lydecker; Kimberly Scott as Detective Jones","R (Restricted)","Dolby Digital Surround [English]; Dolby Digital Surround [French]","","","1993","An unemployed defense worker frustrated with the various flaws he sees in society, begins to psychotically and violently lash out against them.","Arnold Kopelson; Timothy Harris","10/26/1999","1999","C:\Users\zerom_000\Documents\Movie Collector\Images\FallingDown199327846_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FallingDown199327846_d.jpg","085391264828","","0","Andrzej Bartkowiak","Warner Home Video","","0","Interactive Menus Scene Access Theatrical Trailer"
"Family Guy: Season 1","1999","312 mins","Animation; Comedy","Seth MacFarlane; Peter Shin","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FamilyGuySeason119998340_f.jpg","http://www.youtube.com/watch?v=-G2sU4jw3Xo","DVD","8.6","","Ron Jones","Seth MacFarlane","Seth MacFarlane as Peter Griffin; Alex Borstein as Lois Griffin; Seth Green as Chris Griffin; Mila Kunis as Meg Griffin; Mike Henry as Cleveland Brown; Danny Smith as Various; Patrick Warburton as Joe Swanson; John Viener as Various; Lori Alan as Diane Simmons","15","Dolby Digital Stereo [English]","","","1999","Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.","Mike Barker","11/12/2001","2001","C:\Users\zerom_000\Documents\Movie Collector\Images\FamilyGuySeason119998340_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FamilyGuySeason119998340_d.jpg","5039036007801","","0","","20th Century Fox Home Entertainment","","7","Interactive menus. Scene access."
"Family Guy: The Freakin' Sweet Collection","2004","115 mins","","Pete Michels; Peter Shin","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FamilyGuyTheFreakinSweet8298_f.jpg","http://www.youtube.com/watch?v=NkIJhoqL8Tg","DVD","8.6","","","Seth MacFarlane; David Zuckerman","Alex Borstein as Lois Griffin/Loretta Brown/Tricia Takanawa/Barbara Pewterschmidt; Seth MacFarlane as Peter Griffin/Brian Griffin/Stewie Griffin/Glen Quagmire/Tom Tucker; Seth Green as Chris Griffin/Neil Goldman/Additional Voices; Mila Kunis as Meg Griffin","NR (Not Rated)","Dolby Digital Stereo [English]; Dolby Digital Stereo [French]; Dolby Digital Surround [English]; Dolby Digital Surround [Spanish]; Commentary [English]","","","2004","","Seth MacFarlane; David Zuckerman","12/14/2004","2004","C:\Users\zerom_000\Documents\Movie Collector\Images\FamilyGuyTheFreakinSweet8298_b.jpg","","024543146414","","0","","20th Century Fox","Special Edition","5","All-New Commentaries on selected episodes by Series Creator Seth MacFarlane, Producers, Writers and Cast Members Over 30 minutes of new content from Seth MacFarlane - including an inside look at 'American Dad' and the upcoming fourth season of 'Family Guy' Controversial 'When You Wish Upon A Weinstein' episode (Never aired on network TV) Original restored/uncensored 'Road To Rhode Island' episode (Never before available on DVD)"
"Fanboys","2007","90 mins","Comedy; Adventure","Kyle Newman","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\Fanboys200726397_f.jpg","http://www.youtube.com/watch?v=mUjrG8gTmM0&","DVD","6.7","","Mark Mothersbaugh","Adam F. Goldberg; Ernest Cline","Sam Huntington as Eric; Chris Marquette as Linus; Dan Fogler as Hutch; Jay Baruchel as Windows; Kristen Bell as Zoe; David Denman as Chaz; Christopher McDonald as Big Chuck; Charlie B. Brown as Myron; Isaac Kappy as Garfunkel; Stephen Pina as Simon; Seth Rogen as Admiral Seasholtz/Alien/Roach; Thom Bishops as The Vulcan/Gruvock; Clark Sanchez as Bartender; Stanley Shunkamolah as Thick-Necked Thug; Danny Trejo as The Chief","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]","","","2007","'Star Wars' fans travel to Skywalker Ranch to steal an early copy of 'Episode I: The Phantom Menace'.","Bob Weinstein; Harvey Weinstein","5/19/2009","2009","C:\Users\zerom_000\Documents\Movie Collector\Images\Fanboys200726397_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\Fanboys200726397_d.jpg","796019813525","","0","Lukas Ettlin","Weinstein Company","","0","- Deleted Scenes - Commentary With The Cast And Crew - Disturbances In The Force: A Series Of Webisodes - The Truth About Fanboys - The Star Wars Parallel - 4 Fanboys & 1 Fangirl - The Choreography"
"Fantastic Four","2005","106 mins","Adventure; Science Fiction; Action","Tim Story","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FantasticFour200514174_f.jpg","http://www.youtube.com/watch?v=sRSphEIfejA","DVD","5.7","","John Ottman","Mark Frost; Jack Kirby","Jessica Alba as Sue Storm; Michael Chiklis as Ben Grimm; Chris Evans as Johnny Storm; Ioan Gruffudd as Reed Richards; Laurie Holden as Debbie McIlvane; Hamish Linklater as Leonard; Julian McMahon as Victor Von Doom; Kevin McNulty as Jimmy O'Hoolihan; Kerry Washington as Alicia Masters; David Parker as Ernie","PG-13 (Parents Strongly Cautioned)","Dolby Digital 5.1 [English]; DTS 5.1 [English]; Dolby Digital Surround [Spanish]","","","2005","During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these 'Fantastic Four' must now thwart the evil plans of Dr. Doom and save the world from certain destruction.","Ralph Winter; Chris Columbus","12/6/2005","2005","C:\Users\zerom_000\Documents\Movie Collector\Images\FantasticFour200514174_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FantasticFour200514174_d.jpg","024543196129","","0","Oliver Wood","20th Century Fox","","0","Exclusive Inside Look at X3 - Hosted by Producer Avi Arad Cast Commentary Deleted Scenes Fantastic Four Video Diary 'Making of Fantastic Four' Featurette Fox Movie Channel Presents: Casting Session & Making A Scene Music Videos Theatrical Teaser & Trailer"
"Fantastic Four: Rise Of The Silver Surfer","2007","92 mins","Science Fiction; Action","Tim Story","USA","C:\Users\zerom_000\Documents\Movie Collector\Images\FantasticFourRiseOfTheSi14151_f.jpg","http://www.youtube.com/watch?v=Y3EC_V9A-rw","DVD","5.7","","John Ottman","Mark Frost; John Turman","Ioan Gruffudd as Reed Richards; Jessica Alba as Sue Storm; Chris Evans as Johnny Storm; Michael Chiklis as Ben Grimm; Julian McMahon as Victor Von Doom; Kerry Washington as Alicia Masters; Andre Braugher as General Hager; Laurence Fishburne as The Silver Surfer; Doug Jones as The Silver Surfer; Beau Garrett as Captain Raye","PG (Parental Guidance)","Dolby Digital 5.1 [English]; Dolby Digital Surround; Dolby Digital Surround [French]; Dolby Digital Surround [Spanish]","","","2007","The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.","Ralph Winter; Chris Columbus","10/2/2007","2007","C:\Users\zerom_000\Documents\Movie Collector\Images\FantasticFourRiseOfTheSi14151_b.jpg","C:\Users\zerom_000\Documents\Movie Collector\Images\FantasticFourRiseOfTheSi14151_d.jpg","024543470861","","0","Larry Blanford","20th Century Fox Home Entertainment","The Power Cosmic Edition, Set","0","Audio Commentary by Director Tim Story Audio Commentary by Producer Avi Arad, Screenwriter Don Payne, and Film Editors Peter S. Elliot and William Hoy Extended and Deleted Scenes with Optional Commentary by Tim Story Family Bonds Making-of Documentary The Fantasticar: State Of The Art Featurette Interactive Fantasticar Experience The Power Cosmic Featurette Character Design with Spectral Motion Featurette Sentinel of the Spaceways: Comic Book Origins of the Silver Surfer Documentary Scoring the Fantastic Featurette Still Galleries: Behind the Scenes, Characters and Concept Art Theatrical Trailers"
